TID GID GT TTy ReqT TAr TT Res
1	 0	 4	 Q	 0	 0	 1	 S	
57	 18	 2	 D	 18	 27	 1	 S	 
58	 26	 1	 C	 26	 26	 2	 A	
59	 25	 3	 C	 25	 27	 1	 B	
60	 26	 1	 D	 26	 28	 1	 S	 
61	 27	 1	 C	 27	 27	 2	 A	
62	 25	 3	 D	 25	 28	 2	 S	 
63	 29	 3	 A	 29	 29	 2	 B	
64	 27	 1	 D	 27	 29	 2	 S	 
65	 19	 2	 P	 19	 19	 13	 A	 
66	 30	 1	 C	 30	 30	 2	 B	
67	 28	 4	 Q	 28	 28	 4	 S	
68	 29	 3	 C	 29	 31	 2	 A	
69	 30	 1	 D	 30	 32	 1	 S	 
70	 31	 1	 C	 31	 31	 2	 B	
71	 19	 2	 C	 19	 32	 2	 A	
72	 29	 3	 D	 29	 33	 1	 S	 
73	 33	 1	 C	 33	 33	 1	 B	
74	 31	 1	 D	 31	 33	 2	 S	 
75	 32	 3	 A	 32	 32	 4	 B	
76	 19	 2	 D	 19	 34	 2	 S	 
77	 21	 2	 P	 21	 21	 16	 A	 
78	 32	 3	 C	 32	 36	 1	 B	
79	 33	 1	 D	 33	 34	 3	 S	 
80	 36	 1	 C	 36	 36	 2	 A	
81	 21	 2	 C	 21	 37	 1	 B	
82	 32	 3	 D	 32	 37	 1	 S	 
83	 37	 1	 C	 37	 37	 2	 A	
84	 36	 1	 D	 36	 38	 1	 S	 
85	 39	 1	 C	 39	 39	 1	 A	
86	 35	 3	 A	 35	 35	 5	 B	
87	 21	 2	 D	 21	 38	 2	 S	 
88	 35	 3	 C	 35	 40	 1	 A	
89	 37	 1	 D	 37	 39	 2	 S	 
90	 38	 3	 A	 38	 38	 4	 B	
91	 41	 1	 C	 41	 41	 1	 A	
92	 39	 1	 D	 39	 40	 2	 S	 
93	 38	 3	 C	 38	 42	 1	 B	
94	 35	 3	 D	 35	 41	 2	 S	 
95	 42	 1	 C	 42	 42	 2	 B	
96	 41	 1	 D	 41	 42	 2	 S	 
97	 23	 2	 P	 23	 23	 22	 A	 
98	 44	 1	 C	 44	 44	 1	 B	
99	 38	 3	 D	 38	 43	 2	 S	 
100	 23	 2	 C	 23	 45	 1	 A	
101	 45	 1	 C	 45	 45	 1	 B	
102	 42	 1	 D	 42	 44	 2	 S	 
103	 44	 1	 D	 44	 45	 2	 S	 
104	 47	 1	 C	 47	 47	 1	 B	
105	 23	 2	 D	 23	 46	 2	 S	 
106	 28	 4	 P	 28	 28	 21	 A	 
107	 45	 1	 D	 45	 46	 3	 S	 
108	 28	 4	 C	 28	 49	 1	 A	
109	 48	 5	 A	 48	 48	 2	 B	
110	 47	 1	 D	 47	 48	 2	 S	 
111	 50	 1	 C	 50	 50	 1	 B	
112	 28	 4	 D	 28	 50	 1	 S	 
113	 50	 1	 D	 50	 51	 1	 S	 
114	 34	 2	 P	 34	 34	 19	 A	 
115	 52	 1	 C	 52	 52	 1	 B	
116	 48	 5	 Q	 48	 48	 5	 S	
117	 34	 2	 C	 34	 53	 1	 A	
118	 53	 1	 C	 53	 53	 1	 B	
119	 52	 1	 D	 52	 53	 1	 S	 
120	 48	 5	 C	 48	 53	 2	 A	
121	 34	 2	 D	 34	 54	 1	 S	 
122	 55	 1	 C	 55	 55	 1	 B	
123	 53	 1	 D	 53	 54	 2	 S	 
124	 48	 5	 D	 48	 55	 2	 S	 
125	 40	 2	 P	 40	 40	 18	 A	 
126	 55	 1	 D	 55	 56	 2	 S	 
127	 57	 3	 A	 57	 57	 2	 B	
128	 40	 2	 C	 40	 58	 1	 A	
129	 58	 5	 Q	 58	 58	 1	 S	
130	 59	 1	 C	 59	 59	 1	 A	
131	 57	 3	 C	 57	 59	 1	 B	
132	 40	 2	 D	 40	 59	 1	 S	 
133	 59	 1	 D	 59	 60	 1	 S	 
134	 58	 5	 A	 58	 58	 4	 B	
135	 57	 3	 D	 57	 60	 2	 S	 
136	 43	 2	 P	 43	 43	 20	 A	 
137	 58	 5	 C	 58	 62	 1	 B	
138	 61	 5	 Q	 61	 61	 2	 S	
139	 62	 1	 C	 62	 62	 2	 A	
140	 43	 2	 C	 43	 63	 1	 B	
141	 58	 5	 D	 58	 63	 1	 S	 
142	 63	 1	 C	 63	 63	 2	 A	
143	 64	 1	 C	 64	 64	 1	 B	
144	 62	 1	 D	 62	 64	 1	 S	 
145	 43	 2	 D	 43	 64	 2	 S	 
146	 61	 5	 A	 61	 61	 6	 B	
147	 63	 1	 D	 63	 65	 2	 S	 
148	 46	 2	 P	 46	 46	 22	 A	 
149	 61	 5	 C	 61	 67	 1	 B	
150	 64	 1	 D	 64	 65	 3	 S	 
151	 67	 1	 C	 67	 67	 2	 A	
152	 46	 2	 C	 46	 68	 1	 B	
153	 61	 5	 D	 61	 68	 1	 S	 
154	 68	 1	 C	 68	 68	 2	 A	
155	 67	 1	 D	 67	 69	 1	 S	 
156	 65	 3	 A	 65	 65	 6	 B	
157	 46	 2	 D	 46	 69	 2	 S	 
158	 65	 3	 C	 65	 71	 1	 B	
159	 68	 1	 D	 68	 70	 2	 S	 
160	 49	 2	 P	 49	 49	 24	 A	 
161	 71	 1	 C	 71	 71	 2	 B	
162	 65	 3	 D	 65	 72	 1	 S	 
163	 72	 1	 C	 72	 72	 2	 A	
164	 49	 2	 C	 49	 73	 1	 B	
165	 71	 1	 D	 71	 73	 1	 S	 
166	 72	 1	 D	 72	 74	 1	 S	 
167	 73	 3	 A	 73	 73	 3	 B	
168	 49	 2	 D	 49	 74	 2	 S	 
169	 73	 3	 C	 73	 76	 1	 B	
170	 51	 2	 P	 51	 51	 26	 A	 
171	 66	 4	 Q	 66	 66	 11	 S	
172	 51	 2	 C	 51	 77	 1	 A	
173	 76	 1	 C	 76	 76	 2	 B	
174	 73	 3	 D	 73	 77	 1	 S	 
175	 77	 1	 C	 77	 77	 2	 A	
176	 51	 2	 D	 51	 78	 1	 S	 
177	 75	 5	 A	 75	 75	 5	 B	
178	 76	 1	 D	 76	 78	 2	 S	 
179	 80	 1	 C	 80	 80	 1	 B	
180	 77	 1	 D	 77	 79	 2	 S	 
181	 54	 2	 P	 54	 54	 28	 A	 
182	 80	 1	 D	 80	 81	 1	 S	 
183	 79	 3	 A	 79	 79	 4	 B	
184	 54	 2	 C	 54	 82	 1	 A	
185	 70	 4	 Q	 70	 70	 13	 S	
186	 82	 1	 C	 82	 82	 2	 B	
187	 79	 3	 C	 79	 83	 1	 A	
188	 54	 2	 D	 54	 83	 1	 S	 
189	 83	 1	 C	 83	 83	 2	 B	
190	 84	 1	 C	 84	 84	 1	 A	
191	 82	 1	 D	 82	 84	 1	 S	 
192	 79	 3	 D	 79	 84	 2	 S	 
193	 81	 5	 A	 81	 81	 6	 B	
194	 83	 1	 D	 83	 85	 2	 S	 
195	 56	 2	 P	 56	 56	 32	 A	 
196	 84	 1	 D	 84	 85	 3	 S	 
197	 56	 2	 C	 56	 88	 1	 A	
198	 88	 1	 C	 88	 88	 1	 B	
199	 75	 5	 Q	 75	 75	 14	 S	
200	 89	 1	 C	 89	 89	 1	 B	
201	 56	 2	 D	 56	 89	 1	 S	 
202	 75	 5	 C	 75	 89	 2	 B	
203	 88	 1	 D	 88	 89	 2	 S	 
204	 60	 2	 P	 60	 60	 32	 A	 
205	 89	 1	 D	 89	 90	 2	 S	 
206	 60	 2	 C	 60	 92	 1	 A	
207	 91	 3	 A	 91	 91	 2	 B	
208	 75	 5	 D	 75	 91	 2	 S	 
209	 92	 1	 C	 92	 92	 2	 A	
210	 91	 3	 C	 91	 93	 1	 B	
211	 60	 2	 D	 60	 93	 1	 S	 
212	 94	 1	 C	 94	 94	 1	 A	
213	 92	 1	 D	 92	 94	 1	 S	 
214	 93	 5	 A	 93	 93	 3	 B	
215	 95	 1	 C	 95	 95	 1	 A	
216	 91	 3	 D	 91	 94	 2	 S	 
217	 96	 1	 C	 96	 96	 1	 B	
218	 94	 1	 D	 94	 95	 2	 S	 
219	 97	 1	 C	 97	 97	 1	 B	
220	 95	 1	 D	 95	 96	 2	 S	 
221	 66	 4	 P	 66	 66	 33	 A	 
222	 98	 1	 C	 98	 98	 1	 B	
223	 96	 1	 D	 96	 97	 2	 S	 
224	 66	 4	 C	 66	 99	 1	 A	
225	 97	 1	 D	 97	 98	 2	 S	 
226	 99	 3	 A	 99	 99	 2	 B	
227	 98	 1	 D	 98	 99	 2	 S	 
228	 100	 1	 C	 100	 100	 2	 B	
229	 66	 4	 D	 66	 100	 2	 S	 
230	 69	 2	 P	 69	 69	 34	 A	 
231	 101	 1	 C	 101	 101	 2	 B	
232	 100	 1	 D	 100	 102	 1	 S	 
233	 99	 3	 C	 99	 101	 3	 A	
234	 102	 1	 C	 102	 102	 2	 B	
235	 101	 1	 D	 101	 103	 1	 S	 
236	 69	 2	 C	 69	 103	 2	 A	
237	 103	 1	 C	 103	 103	 2	 B	
238	 99	 3	 D	 99	 104	 1	 S	 
239	 102	 1	 D	 102	 104	 2	 S	 
240	 106	 1	 C	 106	 106	 1	 B	
241	 69	 2	 D	 69	 105	 2	 S	 
242	 70	 4	 P	 70	 70	 38	 A	 
243	 107	 1	 C	 107	 107	 1	 B	
244	 103	 1	 D	 103	 105	 3	 S	 
245	 70	 4	 C	 70	 108	 1	 A	
246	 106	 1	 D	 106	 107	 2	 S	 
247	 109	 1	 C	 109	 109	 1	 B	
248	 107	 1	 D	 107	 108	 2	 S	 
249	 110	 1	 C	 110	 110	 1	 B	
250	 70	 4	 D	 70	 109	 2	 S	 
251	 74	 2	 P	 74	 74	 38	 A	 
252	 109	 1	 D	 109	 110	 2	 S	 
253	 74	 2	 C	 74	 112	 1	 A	
254	 111	 3	 A	 111	 111	 2	 B	
255	 110	 1	 D	 110	 111	 2	 S	 
256	 112	 1	 C	 112	 112	 2	 A	
257	 111	 3	 C	 111	 113	 1	 B	
258	 74	 2	 D	 74	 113	 1	 S	 
259	 112	 1	 D	 112	 114	 1	 S	 
260	 113	 5	 A	 113	 113	 3	 B	
261	 111	 3	 D	 111	 114	 2	 S	 
262	 78	 2	 P	 78	 78	 39	 A	 
263	 116	 1	 C	 116	 116	 1	 B	
264	 81	 5	 Q	 81	 81	 36	 S	
265	 78	 2	 C	 78	 117	 1	 A	
266	 117	 1	 C	 117	 117	 1	 B	
267	 116	 1	 D	 116	 117	 1	 S	 
268	 81	 5	 C	 81	 117	 2	 A	
269	 78	 2	 D	 78	 118	 1	 S	 
270	 115	 3	 A	 115	 115	 5	 B	
271	 119	 1	 C	 119	 119	 1	 A	
272	 117	 1	 D	 117	 118	 2	 S	 
273	 115	 3	 C	 115	 120	 1	 B	
274	 120	 1	 C	 120	 120	 1	 A	
275	 81	 5	 D	 81	 119	 2	 S	 
276	 119	 1	 D	 119	 120	 2	 S	 
277	 118	 3	 A	 118	 118	 5	 B	
278	 115	 3	 D	 115	 121	 2	 S	 
279	 85	 2	 P	 85	 85	 39	 A	 
280	 123	 1	 C	 123	 123	 1	 B	
281	 120	 1	 D	 120	 121	 3	 S	 
282	 118	 3	 C	 118	 123	 2	 A	
283	 85	 2	 C	 85	 124	 1	 B	
284	 123	 1	 D	 123	 124	 1	 S	 
285	 125	 1	 C	 125	 125	 1	 B	
286	 118	 3	 D	 118	 125	 1	 S	 
287	 85	 2	 D	 85	 125	 2	 S	 
288	 86	 2	 P	 86	 86	 42	 A	 
289	 127	 1	 C	 127	 127	 1	 B	
290	 125	 1	 D	 125	 126	 2	 S	 
291	 86	 2	 C	 86	 128	 1	 A	
292	 128	 1	 C	 128	 128	 1	 B	
293	 127	 1	 D	 127	 128	 1	 S	 
294	 129	 1	 C	 129	 129	 1	 A	
295	 86	 2	 D	 86	 129	 1	 S	 
296	 128	 1	 D	 128	 129	 2	 S	 
297	 131	 1	 C	 131	 131	 1	 B	
298	 129	 1	 D	 129	 130	 2	 S	 
299	 87	 2	 P	 87	 87	 46	 A	 
300	 132	 1	 C	 132	 132	 1	 B	
301	 131	 1	 D	 131	 132	 1	 S	 
302	 87	 2	 C	 87	 133	 1	 A	
303	 132	 1	 D	 132	 133	 1	 S	 
304	 133	 3	 A	 133	 133	 2	 B	
305	 87	 2	 D	 87	 134	 1	 S	 
306	 133	 3	 C	 133	 135	 1	 B	
307	 90	 4	 Q	 90	 90	 46	 S	
308	 90	 4	 P	 90	 90	 47	 A	 
309	 136	 1	 C	 136	 136	 1	 B	
310	 133	 3	 D	 133	 136	 1	 S	 
311	 90	 4	 C	 90	 137	 1	 A	
312	 137	 1	 C	 137	 137	 1	 B	
313	 136	 1	 D	 136	 137	 1	 S	 
314	 90	 4	 D	 90	 138	 1	 S	 
315	 138	 5	 A	 138	 138	 2	 B	
316	 137	 1	 D	 137	 138	 2	 S	 
317	 104	 2	 P	 104	 104	 37	 A	 
318	 139	 1	 C	 139	 139	 2	 B	
319	 93	 5	 Q	 93	 93	 48	 S	
320	 104	 2	 C	 104	 141	 1	 A	
321	 139	 1	 D	 139	 141	 1	 S	 
322	 141	 1	 C	 141	 141	 2	 A	
323	 140	 3	 A	 140	 140	 3	 B	
324	 104	 2	 D	 104	 142	 1	 S	 
325	 93	 5	 C	 93	 141	 3	 A	
326	 142	 1	 C	 142	 142	 2	 B	
327	 141	 1	 D	 141	 143	 1	 S	 
328	 144	 1	 C	 144	 144	 1	 B	
329	 140	 3	 C	 140	 143	 2	 A	
330	 93	 5	 D	 93	 144	 1	 S	 
331	 142	 1	 D	 142	 144	 2	 S	 
332	 143	 3	 A	 143	 143	 4	 B	
333	 144	 1	 D	 144	 145	 2	 S	 
334	 105	 4	 P	 105	 105	 43	 A	 
335	 143	 3	 C	 143	 147	 1	 B	
336	 140	 3	 D	 140	 145	 3	 S	 
337	 147	 1	 C	 147	 147	 2	 A	
338	 143	 3	 D	 143	 148	 1	 S	 
339	 146	 3	 A	 146	 146	 4	 B	
340	 147	 1	 D	 147	 149	 1	 S	 
341	 146	 3	 C	 146	 150	 1	 B	
342	 105	 4	 Q	 105	 105	 46	 S	
343	 108	 2	 P	 108	 108	 44	 A	 
344	 150	 1	 C	 150	 150	 2	 B	
345	 146	 3	 D	 146	 151	 1	 S	 
346	 151	 1	 C	 151	 151	 2	 A	
347	 105	 4	 C	 105	 151	 2	 B	
348	 150	 1	 D	 150	 152	 1	 S	 
349	 108	 2	 C	 108	 152	 2	 A	
350	 152	 1	 C	 152	 152	 2	 B	
351	 151	 1	 D	 151	 153	 1	 S	 
352	 153	 1	 C	 153	 153	 2	 A	
353	 105	 4	 D	 105	 153	 2	 S	 
354	 155	 1	 C	 155	 155	 1	 A	
355	 148	 5	 A	 148	 148	 8	 B	
356	 108	 2	 D	 108	 154	 2	 S	 
357	 156	 1	 C	 156	 156	 1	 A	
358	 152	 1	 D	 152	 154	 3	 S	 
359	 157	 1	 C	 157	 157	 1	 A	
360	 154	 3	 A	 154	 154	 4	 B	
361	 153	 1	 D	 153	 155	 3	 S	 
362	 154	 3	 C	 154	 158	 1	 B	
363	 155	 1	 D	 155	 156	 3	 S	 
364	 159	 1	 C	 159	 159	 1	 B	
365	 156	 1	 D	 156	 157	 3	 S	 
366	 114	 2	 P	 114	 114	 47	 A	 
367	 157	 1	 D	 157	 158	 3	 S	 
368	 114	 2	 C	 114	 161	 1	 A	
369	 158	 3	 A	 158	 158	 4	 B	
370	 154	 3	 D	 154	 159	 3	 S	 
371	 161	 1	 C	 161	 161	 2	 A	
372	 162	 1	 C	 162	 162	 1	 B	
373	 159	 1	 D	 159	 160	 3	 S	 
374	 158	 3	 C	 158	 162	 2	 A	
375	 163	 1	 C	 163	 163	 1	 B	
376	 114	 2	 D	 114	 162	 2	 S	 
377	 164	 1	 C	 164	 164	 1	 A	
378	 161	 1	 D	 161	 163	 2	 S	 
379	 160	 5	 A	 160	 160	 6	 B	
380	 162	 1	 D	 162	 163	 3	 S	 
381	 166	 1	 C	 166	 166	 1	 B	
382	 158	 3	 D	 158	 164	 3	 S	 
383	 121	 2	 P	 121	 121	 47	 A	 
384	 163	 1	 D	 163	 164	 4	 S	 
385	 121	 2	 C	 121	 168	 1	 A	
386	 165	 3	 A	 165	 165	 4	 B	
387	 164	 1	 D	 164	 165	 4	 S	 
388	 169	 1	 C	 169	 169	 1	 B	
389	 166	 1	 D	 166	 167	 3	 S	 
390	 165	 3	 C	 165	 169	 2	 B	
391	 121	 2	 D	 121	 169	 2	 S	 
392	 122	 2	 P	 122	 122	 50	 A	 
393	 170	 1	 C	 170	 170	 2	 B	
394	 169	 1	 D	 169	 170	 2	 S	 
395	 171	 1	 C	 171	 171	 2	 A	
396	 122	 2	 C	 122	 172	 1	 B	
397	 165	 3	 D	 165	 171	 2	 S	 
398	 170	 1	 D	 170	 172	 2	 S	 
399	 173	 3	 A	 173	 173	 2	 B	
400	 171	 1	 D	 171	 173	 2	 S	 
401	 124	 2	 P	 124	 124	 52	 A	 
402	 173	 3	 C	 173	 175	 1	 B	
403	 122	 2	 D	 122	 173	 3	 S	 
404	 124	 2	 C	 124	 176	 1	 A	
405	 176	 1	 C	 176	 176	 1	 B	
406	 173	 3	 D	 173	 176	 1	 S	 
407	 177	 1	 C	 177	 177	 1	 B	
408	 124	 2	 D	 124	 177	 1	 S	 
409	 178	 1	 C	 178	 178	 1	 B	
410	 176	 1	 D	 176	 177	 2	 S	 
411	 126	 2	 P	 126	 126	 54	 A	 
412	 177	 1	 D	 177	 178	 2	 S	 
413	 126	 2	 C	 126	 180	 1	 A	
414	 175	 5	 A	 175	 175	 6	 B	
415	 178	 1	 D	 178	 179	 2	 S	 
416	 180	 1	 C	 180	 180	 2	 A	
417	 181	 1	 C	 181	 181	 1	 B	
418	 126	 2	 D	 126	 181	 1	 S	 
419	 180	 1	 D	 180	 182	 1	 S	 
420	 183	 1	 C	 183	 183	 1	 B	
421	 181	 1	 D	 181	 182	 2	 S	 
422	 130	 2	 P	 130	 130	 55	 A	 
423	 184	 1	 C	 184	 184	 1	 B	
424	 183	 1	 D	 183	 184	 1	 S	 
425	 130	 2	 C	 130	 185	 1	 A	
426	 185	 1	 C	 185	 185	 1	 B	
427	 184	 1	 D	 184	 185	 1	 S	 
428	 130	 2	 D	 130	 186	 1	 S	 
429	 186	 5	 A	 186	 186	 2	 B	
430	 185	 1	 D	 185	 186	 2	 S	 
431	 134	 2	 P	 134	 134	 55	 A	 
432	 187	 1	 C	 187	 187	 2	 B	
433	 113	 5	 Q	 113	 113	 76	 S	
434	 134	 2	 C	 134	 189	 1	 A	
435	 189	 1	 C	 189	 189	 1	 B	
436	 187	 1	 D	 187	 189	 1	 S	 
437	 113	 5	 C	 113	 189	 2	 A	
438	 134	 2	 D	 134	 190	 1	 S	 
439	 188	 5	 A	 188	 188	 4	 B	
440	 189	 1	 D	 189	 190	 2	 S	 
441	 191	 1	 C	 191	 191	 2	 B	
442	 113	 5	 D	 113	 191	 2	 S	 
443	 135	 2	 P	 135	 135	 59	 A	 
444	 193	 1	 C	 193	 193	 1	 B	
445	 191	 1	 D	 191	 193	 1	 S	 
446	 135	 2	 C	 135	 194	 1	 A	
447	 194	 1	 C	 194	 194	 1	 B	
448	 193	 1	 D	 193	 194	 1	 S	 
449	 135	 2	 D	 135	 195	 1	 S	 
450	 192	 3	 A	 192	 192	 5	 B	
451	 194	 1	 D	 194	 195	 2	 S	 
452	 145	 4	 P	 145	 145	 53	 A	 
453	 192	 3	 C	 192	 197	 1	 B	
454	 138	 5	 Q	 138	 138	 60	 S	
455	 192	 3	 D	 192	 198	 1	 S	 
456	 195	 3	 A	 195	 195	 5	 B	
457	 145	 4	 Q	 145	 145	 55	 S	
458	 149	 2	 P	 149	 149	 52	 A	 
459	 138	 5	 C	 138	 198	 3	 B	
460	 148	 5	 Q	 148	 148	 53	 S	
461	 199	 1	 C	 199	 199	 3	 A	
462	 195	 3	 C	 195	 200	 2	 B	
463	 138	 5	 D	 138	 201	 1	 S	 
464	 200	 1	 C	 200	 200	 3	 A	
465	 145	 4	 C	 145	 200	 3	 B	
466	 199	 1	 D	 199	 202	 1	 S	 
467	 149	 2	 C	 149	 201	 3	 A	
468	 201	 1	 C	 201	 201	 3	 B	
469	 195	 3	 D	 195	 202	 2	 S	 
470	 148	 5	 C	 148	 201	 4	 A	
471	 200	 1	 D	 200	 203	 2	 S	 
472	 198	 3	 A	 198	 198	 8	 B	
473	 145	 4	 D	 145	 203	 3	 S	 
474	 206	 1	 C	 206	 206	 1	 B	
475	 149	 2	 D	 149	 204	 3	 S	 
476	 167	 2	 P	 167	 167	 41	 A	 
477	 198	 3	 C	 198	 206	 2	 B	
478	 201	 1	 D	 201	 204	 4	 S	 
479	 207	 1	 C	 207	 207	 2	 A	
480	 167	 2	 C	 167	 208	 1	 B	
481	 148	 5	 D	 148	 205	 4	 S	 
482	 208	 1	 C	 208	 208	 2	 A	
483	 206	 1	 D	 206	 207	 3	 S	 
484	 202	 3	 A	 202	 202	 9	 B	
485	 198	 3	 D	 198	 208	 3	 S	 
486	 202	 3	 C	 202	 211	 1	 B	
487	 207	 1	 D	 207	 209	 3	 S	 
488	 168	 2	 P	 168	 168	 45	 A	 
489	 212	 1	 C	 212	 212	 1	 B	
490	 167	 2	 D	 167	 209	 4	 S	 
491	 168	 2	 C	 168	 213	 1	 A	
492	 213	 1	 C	 213	 213	 1	 B	
493	 208	 1	 D	 208	 210	 4	 S	 
494	 202	 3	 D	 202	 212	 3	 S	 
495	 203	 3	 A	 203	 203	 13	 B	
496	 212	 1	 D	 212	 213	 3	 S	 
497	 172	 4	 P	 172	 172	 45	 A	 
498	 215	 1	 C	 215	 215	 2	 B	
499	 168	 2	 D	 168	 214	 3	 S	 
500	 203	 3	 C	 203	 216	 2	 A	
501	 217	 1	 C	 217	 217	 1	 B	
502	 213	 1	 D	 213	 214	 4	 S	 
503	 215	 1	 D	 215	 217	 2	 S	 
504	 210	 5	 A	 210	 210	 10	 B	
505	 203	 3	 D	 203	 218	 2	 S	 
506	 174	 2	 P	 174	 174	 47	 A	 
507	 219	 1	 C	 219	 219	 2	 B	
508	 217	 1	 D	 217	 218	 3	 S	 
509	 220	 1	 C	 220	 220	 2	 A	
510	 174	 2	 C	 174	 221	 1	 B	
511	 219	 1	 D	 219	 221	 1	 S	 
512	 222	 1	 C	 222	 222	 1	 B	
513	 220	 1	 D	 220	 222	 1	 S	 
514	 174	 2	 D	 174	 222	 2	 S	 
515	 179	 4	 P	 179	 179	 46	 A	 
516	 211	 5	 A	 211	 211	 14	 B	
517	 222	 1	 D	 222	 223	 2	 S	 
518	 224	 1	 C	 224	 224	 2	 A	
519	 160	 5	 Q	 160	 160	 66	 S	
520	 225	 1	 C	 225	 225	 2	 A	
521	 223	 3	 A	 223	 223	 4	 B	
522	 224	 1	 D	 224	 226	 1	 S	 
523	 226	 1	 C	 226	 226	 2	 A	
524	 160	 5	 C	 160	 226	 2	 B	
525	 225	 1	 D	 225	 227	 1	 S	 
526	 223	 3	 C	 223	 227	 2	 A	
527	 226	 1	 D	 226	 228	 1	 S	 
528	 228	 1	 C	 228	 228	 2	 A	
529	 227	 3	 A	 227	 227	 3	 B	
530	 160	 5	 D	 160	 228	 2	 S	 
531	 229	 1	 C	 229	 229	 2	 A	
532	 227	 3	 C	 227	 230	 1	 B	
533	 223	 3	 D	 223	 229	 2	 S	 
534	 230	 1	 C	 230	 230	 2	 A	
535	 228	 1	 D	 228	 230	 2	 S	 
536	 231	 3	 A	 231	 231	 2	 B	
537	 229	 1	 D	 229	 231	 2	 S	 
538	 231	 3	 C	 231	 233	 1	 B	
539	 227	 3	 D	 227	 231	 3	 S	 
540	 182	 4	 P	 182	 182	 53	 A	 
541	 233	 1	 C	 233	 233	 2	 B	
542	 230	 1	 D	 230	 232	 3	 S	 
543	 235	 1	 C	 235	 235	 1	 B	
544	 231	 3	 D	 231	 234	 2	 S	 
545	 236	 1	 C	 236	 236	 1	 B	
546	 233	 1	 D	 233	 235	 2	 S	 
547	 190	 2	 P	 190	 190	 48	 A	 
548	 235	 1	 D	 235	 236	 2	 S	 
549	 190	 2	 C	 190	 238	 1	 A	
550	 234	 3	 A	 234	 234	 5	 B	
551	 236	 1	 D	 236	 237	 2	 S	 
552	 238	 1	 C	 238	 238	 2	 A	
553	 239	 1	 C	 239	 239	 1	 B	
554	 190	 2	 D	 190	 239	 1	 S	 
555	 234	 3	 C	 234	 239	 2	 A	
556	 240	 1	 C	 240	 240	 1	 B	
557	 238	 1	 D	 238	 240	 1	 S	 
558	 241	 1	 C	 241	 241	 1	 B	
559	 239	 1	 D	 239	 240	 2	 S	 
560	 234	 3	 D	 234	 241	 2	 S	 
561	 196	 2	 P	 196	 196	 48	 A	 
562	 242	 3	 A	 242	 242	 2	 B	
563	 240	 1	 D	 240	 241	 3	 S	 
564	 243	 1	 C	 243	 243	 2	 A	
565	 196	 2	 C	 196	 244	 1	 B	
566	 241	 1	 D	 241	 242	 3	 S	 
567	 242	 3	 C	 242	 244	 2	 A	
568	 244	 1	 C	 244	 244	 2	 B	
