TID GID GT TTy ReqT TAr TT Res
577	 231	 3	 A	 231	 231	 17	 B	
578	 230	 1	 D	 230	 231	 18	 S	
579	 231	 3	 C	 231	 248	 1	 B	
580	 205	 2	 P	 205	 205	 45	 A	
581	 249	 1	 C	 249	 249	 1	 B	
582	 223	 3	 D	 223	 234	 16	 S	
583	 190	 2	 D	 190	 234	 17	 S	
584	 250	 1	 C	 250	 250	 1	 B	
585	 205	 2	 C	 205	 250	 1	 A	
586	 233	 1	 D	 233	 235	 17	 S	
587	 251	 1	 C	 251	 251	 1	 B	
588	 235	 1	 D	 235	 236	 17	 S	
589	 252	 1	 C	 252	 252	 1	 B	
590	 209	 4	 P	 209	 209	 45	 A	
591	 236	 1	 D	 236	 237	 17	 S	
592	 209	 4	 C	 209	 254	 1	 A	
593	 196	 2	 D	 196	 238	 17	 S	
594	 234	 3	 A	 234	 234	 21	 B	
595	 238	 1	 D	 238	 239	 17	 S	
596	 254	 1	 C	 254	 254	 2	 A	
597	 234	 3	 C	 234	 255	 1	 B	
598	 239	 1	 D	 239	 240	 17	 S	
599	 197	 2	 D	 197	 241	 17	 S	
600	 242	 3	 A	 242	 242	 16	 B	
601	 214	 2	 P	 214	 214	 45	 A	
602	 240	 1	 D	 240	 241	 18	 S	
603	 257	 1	 C	 257	 257	 2	 B	
604	 242	 3	 C	 242	 258	 2	 A	
605	 241	 1	 D	 241	 242	 18	 S	
606	 258	 1	 C	 258	 258	 2	 B	
607	 243	 1	 D	 243	 245	 16	 S	
608	 214	 2	 C	 214	 259	 2	 A	
609	 259	 1	 C	 259	 259	 2	 B	
610	 261	 1	 C	 261	 261	 1	 A	
611	 204	 2	 D	 204	 245	 17	 S	
612	 246	 3	 A	 246	 246	 17	 B	
613	 227	 3	 D	 227	 246	 17	 S	
614	 246	 3	 C	 246	 263	 1	 B	
615	 211	 5	 Q	 211	 211	 53	 S	
616	 216	 2	 P	 216	 216	 49	 A	
617	 264	 1	 C	 264	 264	 1	 B	
618	 244	 1	 D	 244	 246	 19	 S	
619	 245	 1	 D	 245	 247	 19	 S	
620	 211	 5	 C	 211	 264	 2	 A	
621	 216	 2	 C	 216	 265	 1	 B	
622	 218	 4	 Q	 218	 218	 49	 S	
623	 247	 3	 A	 247	 247	 21	 B	
624	 231	 3	 D	 231	 249	 19	 S	
625	 218	 4	 P	 218	 218	 51	 A	
626	 247	 3	 C	 247	 268	 1	 B	
627	 249	 1	 D	 249	 250	 19	 S	
628	 218	 4	 C	 218	 269	 1	 A	
629	 250	 1	 D	 250	 251	 19	 S	
630	 248	 3	 A	 248	 248	 23	 B	
631	 205	 2	 D	 205	 251	 20	 S	
632	 269	 1	 C	 269	 269	 2	 A	
633	 270	 1	 C	 270	 270	 2	 B	
634	 251	 1	 D	 251	 252	 20	 S	
635	 248	 3	 C	 248	 271	 1	 A	
636	 271	 1	 C	 271	 271	 2	 B	
637	 252	 1	 D	 252	 253	 20	 S	
638	 209	 4	 D	 209	 255	 19	 S	
639	 273	 1	 C	 273	 273	 1	 B	
640	 221	 2	 P	 221	 221	 54	 A	
641	 254	 1	 D	 254	 256	 19	 S	
642	 234	 3	 D	 234	 256	 20	 S	
643	 253	 3	 A	 253	 253	 23	 B	
644	 221	 2	 C	 221	 275	 1	 A	
645	 257	 1	 D	 257	 259	 18	 S	
646	 275	 1	 C	 275	 275	 2	 B	
647	 253	 3	 C	 253	 276	 1	 A	
648	 242	 3	 D	 242	 260	 18	 S	
649	 276	 1	 C	 276	 276	 2	 B	
650	 258	 1	 D	 258	 260	 19	 S	
651	 278	 1	 C	 278	 278	 1	 B	
652	 214	 2	 D	 214	 261	 19	 S	
653	 232	 2	 P	 232	 232	 48	 A	
654	 279	 1	 C	 279	 279	 1	 B	
655	 259	 1	 D	 259	 261	 20	 S	
656	 280	 1	 C	 280	 280	 1	 B	
657	 232	 2	 C	 232	 280	 1	 A	
658	 261	 1	 D	 261	 262	 20	 S	
659	 281	 1	 C	 281	 281	 1	 B	
660	 263	 5	 Q	 263	 263	 20	 S	
661	 237	 2	 P	 237	 237	 47	 A	
662	 255	 3	 A	 255	 255	 29	 B	
663	 246	 3	 D	 246	 264	 20	 S	
664	 237	 2	 C	 237	 284	 1	 A	
665	 255	 3	 C	 255	 284	 1	 B	
666	 264	 1	 D	 264	 265	 20	 S	
667	 211	 5	 D	 211	 266	 20	 S	
668	 256	 3	 A	 256	 256	 31	 B	
669	 216	 2	 D	 216	 266	 21	 S	
670	 260	 2	 P	 260	 260	 28	 A	
671	 285	 1	 C	 285	 285	 3	 B	
672	 247	 3	 D	 247	 269	 19	 S	
673	 286	 1	 C	 286	 286	 3	 A	
674	 256	 3	 C	 256	 287	 2	 B	
675	 218	 4	 D	 218	 270	 19	 S	
676	 287	 1	 C	 287	 287	 3	 A	
677	 260	 2	 C	 260	 288	 2	 B	
678	 269	 1	 D	 269	 271	 19	 S	
679	 289	 1	 C	 289	 289	 2	 A	
680	 270	 1	 D	 270	 272	 19	 S	
681	 248	 3	 D	 248	 272	 20	 S	
682	 262	 3	 A	 262	 262	 30	 B	
683	 271	 1	 D	 271	 273	 20	 S	
684	 262	 3	 C	 262	 292	 1	 B	
685	 266	 4	 P	 266	 266	 28	 A	
686	 266	 4	 Q	 266	 266	 28	 S	
687	 292	 1	 C	 292	 292	 2	 B	
688	 273	 1	 D	 273	 274	 21	 S	
689	 266	 4	 C	 266	 294	 1	 B	
690	 221	 2	 D	 221	 276	 20	 S	
691	 267	 2	 P	 267	 267	 30	 A	
692	 263	 5	 A	 263	 263	 34	 B	
693	 282	 4	 Q	 282	 282	 15	 S	
694	 267	 2	 C	 267	 297	 1	 A	
695	 263	 5	 C	 263	 297	 1	 B	
696	 275	 1	 D	 275	 277	 21	 S	
697	 253	 3	 D	 253	 277	 22	 S	
698	 265	 3	 A	 265	 265	 35	 B	
699	 276	 1	 D	 276	 278	 22	 S	
700	 268	 2	 P	 268	 268	 33	 A	
701	 298	 1	 C	 298	 298	 3	 B	
702	 278	 1	 D	 278	 279	 22	 S	
703	 299	 1	 C	 299	 299	 3	 A	
704	 265	 3	 C	 265	 300	 2	 B	
705	 279	 1	 D	 279	 280	 22	 S	
706	 268	 2	 C	 268	 301	 2	 A	
707	 293	 5	 Q	 293	 293	 10	 S	
708	 274	 3	 A	 274	 274	 30	 B	
709	 232	 2	 D	 232	 281	 23	 S	
710	 280	 1	 D	 280	 281	 24	 S	
711	 303	 1	 C	 303	 303	 2	 B	
712	 272	 2	 P	 272	 272	 34	 A	
713	 281	 1	 D	 281	 282	 24	 S	
714	 274	 3	 C	 274	 304	 2	 B	
715	 272	 2	 C	 272	 306	 1	 A	
716	 306	 1	 C	 306	 306	 1	 B	
717	 237	 2	 D	 237	 285	 22	 S	
718	 255	 3	 D	 255	 285	 23	 S	
719	 307	 1	 C	 307	 307	 1	 B	
720	 285	 1	 D	 285	 288	 21	 S	
721	 308	 1	 C	 308	 308	 1	 B	
722	 282	 4	 P	 282	 282	 28	 A	
723	 296	 4	 Q	 296	 296	 14	 S	
724	 282	 4	 C	 282	 310	 1	 A	
725	 277	 3	 A	 277	 277	 34	 B	
726	 286	 1	 D	 286	 289	 22	 S	
727	 277	 3	 C	 277	 311	 1	 B	
728	 256	 3	 D	 256	 289	 23	 S	
729	 287	 1	 D	 287	 290	 23	 S	
730	 283	 2	 P	 283	 283	 31	 A	
731	 288	 3	 A	 288	 288	 26	 B	
732	 260	 2	 D	 260	 290	 24	 S	
733	 313	 1	 C	 313	 313	 2	 A	
734	 283	 2	 C	 283	 314	 1	 B	
735	 289	 1	 D	 289	 291	 24	 S	
736	 288	 3	 C	 288	 314	 2	 A	
737	 262	 3	 D	 262	 293	 23	 S	
738	 291	 3	 A	 291	 291	 26	 B	
739	 292	 1	 D	 292	 294	 23	 S	
740	 266	 4	 D	 266	 295	 23	 S	
741	 291	 3	 C	 291	 317	 1	 B	
742	 284	 2	 P	 284	 284	 35	 A	
743	 267	 2	 D	 267	 298	 21	 S	
744	 293	 5	 A	 293	 293	 27	 B	
745	 284	 2	 C	 284	 319	 1	 A	
746	 263	 5	 D	 263	 298	 22	 S	
747	 293	 5	 C	 293	 320	 1	 A	
748	 298	 1	 D	 298	 301	 20	 S	
749	 319	 1	 C	 319	 319	 2	 B	
750	 299	 1	 D	 299	 302	 20	 S	
751	 320	 1	 C	 320	 320	 2	 A	
752	 265	 3	 D	 265	 302	 21	 S	
753	 297	 3	 A	 297	 297	 26	 B	
754	 268	 2	 D	 268	 303	 21	 S	
755	 297	 3	 C	 297	 323	 1	 B	
756	 290	 2	 P	 290	 290	 35	 A	
757	 303	 1	 D	 303	 305	 20	 S	
758	 324	 1	 C	 324	 324	 1	 B	
759	 274	 3	 D	 274	 306	 20	 S	
760	 290	 2	 C	 290	 325	 1	 A	
761	 272	 2	 D	 272	 307	 20	 S	
762	 300	 3	 A	 300	 300	 27	 B	
763	 306	 1	 D	 306	 307	 21	 S	
764	 300	 3	 C	 300	 327	 1	 B	
765	 294	 2	 P	 294	 294	 35	 A	
766	 302	 5	 Q	 302	 302	 27	 S	
767	 307	 1	 D	 307	 308	 22	 S	
768	 301	 3	 A	 301	 301	 29	 B	
769	 294	 2	 C	 294	 329	 1	 A	
770	 308	 1	 D	 308	 309	 22	 S	
771	 329	 1	 C	 329	 329	 2	 B	
772	 301	 3	 C	 301	 330	 1	 A	
773	 282	 4	 D	 282	 311	 21	 S	
774	 330	 1	 C	 330	 330	 2	 B	
775	 331	 1	 C	 331	 331	 1	 A	
776	 277	 3	 D	 277	 312	 21	 S	
777	 302	 5	 A	 302	 302	 32	 B	
778	 313	 1	 D	 313	 315	 19	 S	
779	 283	 2	 D	 283	 315	 20	 S	
780	 295	 2	 P	 295	 295	 40	 A	
781	 302	 5	 C	 302	 334	 1	 B	
782	 288	 3	 D	 288	 316	 20	 S	
783	 295	 2	 C	 295	 335	 1	 A	
784	 304	 3	 A	 304	 304	 33	 B	
785	 291	 3	 D	 291	 318	 19	 S	
786	 336	 1	 C	 336	 336	 1	 A	
787	 304	 3	 C	 304	 337	 1	 B	
788	 284	 2	 D	 284	 320	 18	 S	
789	 337	 1	 C	 337	 337	 1	 A	
790	 293	 5	 D	 293	 321	 18	 S	
791	 338	 1	 C	 338	 338	 1	 A	
792	 305	 3	 A	 305	 305	 35	 B	
793	 339	 1	 C	 339	 339	 1	 A	
794	 319	 1	 D	 319	 321	 19	 S	
795	 320	 1	 D	 320	 322	 19	 S	
796	 305	 3	 C	 305	 340	 1	 B	
797	 340	 1	 C	 340	 340	 1	 A	
798	 297	 3	 D	 297	 324	 18	 S	
799	 311	 3	 A	 311	 311	 32	 B	
800	 324	 1	 D	 324	 325	 18	 S	
801	 296	 4	 P	 296	 296	 48	 A	
802	 290	 2	 D	 290	 326	 18	 S	
803	 342	 1	 C	 342	 342	 2	 B	
804	 300	 3	 D	 300	 328	 17	 S	
805	 344	 1	 C	 344	 344	 1	 B	
806	 311	 3	 C	 311	 343	 2	 A	
807	 294	 2	 D	 294	 330	 16	 S	
808	 296	 4	 C	 296	 344	 2	 B	
809	 301	 3	 D	 301	 331	 16	 S	
810	 346	 1	 C	 346	 346	 1	 B	
811	 309	 4	 P	 309	 309	 39	 A	
812	 329	 1	 D	 329	 331	 17	 S	
813	 331	 1	 D	 331	 332	 17	 S	
814	 312	 3	 A	 312	 312	 37	 B	
815	 330	 1	 D	 330	 332	 18	 S	
816	 312	 3	 C	 312	 349	 1	 B	
817	 310	 2	 P	 310	 310	 41	 A	
818	 309	 4	 Q	 309	 309	 42	 S	
819	 349	 1	 C	 349	 349	 2	 B	
820	 310	 2	 C	 310	 351	 1	 A	
821	 328	 4	 Q	 328	 328	 24	 S	
822	 309	 4	 C	 309	 351	 1	 B	
823	 302	 5	 D	 302	 335	 18	 S	
824	 314	 3	 A	 314	 314	 40	 B	
825	 295	 2	 D	 295	 336	 18	 S	
826	 318	 2	 P	 318	 318	 37	 A	
827	 353	 1	 C	 353	 353	 2	 B	
828	 336	 1	 D	 336	 337	 18	 S	
829	 314	 3	 C	 314	 354	 2	 A	
830	 318	 2	 C	 318	 355	 1	 B	
831	 304	 3	 D	 304	 338	 18	 S	
832	 356	 1	 C	 356	 356	 1	 A	
833	 337	 1	 D	 337	 338	 19	 S	
834	 315	 3	 A	 315	 315	 43	 B	
835	 338	 1	 D	 338	 339	 19	 S	
836	 339	 1	 D	 339	 340	 19	 S	
837	 315	 3	 C	 315	 358	 1	 B	
838	 321	 2	 P	 321	 321	 39	 A	
839	 305	 3	 D	 305	 341	 19	 S	
840	 358	 1	 C	 358	 358	 2	 B	
841	 321	 2	 C	 321	 360	 1	 A	
842	 340	 1	 D	 340	 341	 20	 S	
843	 360	 1	 C	 360	 360	 1	 B	
844	 342	 1	 D	 342	 344	 18	 S	
845	 361	 1	 C	 361	 361	 1	 A	
846	 316	 3	 A	 316	 316	 47	 B	
847	 344	 1	 D	 344	 345	 18	 S	
848	 363	 1	 C	 363	 363	 1	 B	
849	 311	 3	 D	 311	 345	 19	 S	
850	 296	 4	 D	 296	 346	 19	 S	
851	 316	 3	 C	 316	 363	 2	 B	
852	 322	 2	 P	 322	 322	 43	 A	
853	 346	 1	 D	 346	 347	 19	 S	
854	 365	 1	 C	 365	 365	 1	 A	
855	 322	 2	 C	 322	 365	 1	 B	
856	 312	 3	 D	 312	 350	 17	 S	
857	 366	 1	 C	 366	 366	 1	 A	
858	 349	 1	 D	 349	 351	 17	 S	
859	 367	 1	 C	 367	 367	 1	 A	
860	 317	 3	 A	 317	 317	 51	 B	
861	 350	 4	 Q	 350	 350	 19	 S	
862	 317	 3	 C	 317	 368	 1	 A	
863	 323	 3	 A	 323	 323	 47	 B	
864	 310	 2	 D	 310	 352	 18	 S	
865	 369	 1	 C	 369	 369	 1	 A	
866	 370	 1	 C	 370	 370	 1	 B	
867	 309	 4	 D	 309	 352	 19	 S	
868	 323	 3	 C	 323	 370	 1	 A	
869	 353	 1	 D	 353	 355	 17	 S	
870	 314	 3	 D	 314	 356	 17	 S	
871	 333	 3	 A	 333	 333	 40	 B	
872	 318	 2	 D	 318	 356	 18	 S	
873	 325	 2	 P	 325	 325	 49	 A	
874	 333	 3	 C	 333	 373	 1	 B	
875	 356	 1	 D	 356	 357	 18	 S	
876	 325	 2	 C	 325	 374	 1	 B	
877	 373	 1	 C	 373	 373	 2	 A	
878	 315	 3	 D	 315	 359	 17	 S	
879	 374	 1	 C	 374	 374	 2	 B	
880	 375	 1	 C	 375	 375	 1	 A	
881	 358	 1	 D	 358	 360	 17	 S	
882	 321	 2	 D	 321	 361	 17	 S	
883	 334	 3	 A	 334	 334	 44	 B	
884	 326	 2	 P	 326	 326	 53	 A	
885	 360	 1	 D	 360	 361	 18	 S	
886	 377	 1	 C	 377	 377	 2	 B	
887	 361	 1	 D	 361	 362	 18	 S	
888	 334	 3	 C	 334	 378	 2	 A	
889	 326	 2	 C	 326	 379	 1	 B	
890	 363	 1	 D	 363	 364	 17	 S	
891	 343	 3	 A	 343	 343	 39	 B	
892	 316	 3	 D	 316	 365	 17	 S	
893	 381	 1	 C	 381	 381	 2	 B	
894	 327	 2	 P	 327	 327	 56	 A	
895	 365	 1	 D	 365	 366	 17	 S	
896	 322	 2	 D	 322	 366	 18	 S	
897	 343	 3	 C	 343	 382	 2	 B	
898	 382	 1	 C	 382	 382	 2	 A	
899	 366	 1	 D	 366	 367	 18	 S	
900	 327	 2	 C	 327	 383	 2	 B	
901	 367	 1	 D	 367	 368	 18	 S	
902	 385	 1	 C	 385	 385	 1	 B	
903	 328	 4	 P	 328	 328	 59	 A	
904	 386	 1	 C	 386	 386	 1	 B	
905	 317	 3	 D	 317	 369	 18	 S	
906	 328	 4	 C	 328	 387	 1	 A	
907	 369	 1	 D	 369	 370	 18	 S	
908	 387	 1	 C	 387	 387	 1	 B	
909	 388	 1	 C	 388	 388	 1	 A	
910	 370	 1	 D	 370	 371	 18	 S	
911	 345	 3	 A	 345	 345	 45	 B	
912	 389	 1	 C	 389	 389	 1	 A	
913	 323	 3	 D	 323	 371	 19	 S	
914	 333	 3	 D	 333	 374	 17	 S	
915	 345	 3	 C	 345	 390	 1	 B	
916	 351	 4	 Q	 351	 351	 41	 S	
917	 332	 2	 P	 332	 332	 61	 A	
918	 325	 2	 D	 325	 375	 18	 S	
919	 348	 3	 A	 348	 348	 45	 B	
920	 373	 1	 D	 373	 375	 19	 S	
921	 332	 2	 C	 332	 393	 1	 A	
922	 348	 3	 C	 348	 393	 1	 B	
923	 374	 1	 D	 374	 376	 19	 S	
924	 394	 1	 C	 394	 394	 1	 A	
925	 355	 3	 A	 355	 355	 41	 B	
926	 368	 5	 Q	 368	 368	 28	 S	
927	 355	 3	 C	 355	 396	 1	 B	
928	 375	 1	 D	 375	 376	 21	 S	
929	 377	 1	 D	 377	 379	 19	 S	
930	 335	 2	 P	 335	 335	 63	 A	
931	 397	 1	 C	 397	 397	 1	 B	
932	 334	 3	 D	 334	 380	 19	 S	
933	 335	 2	 C	 335	 398	 1	 A	
934	 326	 2	 D	 326	 380	 20	 S	
935	 357	 3	 A	 357	 357	 43	 B	
936	 399	 1	 C	 399	 399	 1	 A	
937	 381	 1	 D	 381	 383	 18	 S	
938	 400	 1	 C	 400	 400	 1	 A	
939	 357	 3	 C	 357	 400	 1	 B	
940	 382	 1	 D	 382	 384	 18	 S	
941	 343	 3	 D	 343	 384	 19	 S	
942	 359	 3	 A	 359	 359	 44	 B	
943	 341	 2	 P	 341	 341	 63	 A	
944	 327	 2	 D	 327	 385	 19	 S	
945	 402	 1	 C	 402	 402	 2	 B	
946	 359	 3	 C	 359	 403	 2	 A	
947	 385	 1	 D	 385	 386	 19	 S	
948	 341	 2	 C	 341	 404	 1	 B	
949	 404	 1	 C	 404	 404	 2	 A	
950	 386	 1	 D	 386	 387	 19	 S	
951	 405	 1	 C	 405	 405	 1	 B	
952	 406	 1	 C	 406	 406	 1	 A	
953	 328	 4	 D	 328	 388	 19	 S	
954	 364	 3	 A	 364	 364	 44	 B	
955	 387	 1	 D	 387	 388	 20	 S	
956	 407	 1	 C	 407	 407	 1	 A	
957	 388	 1	 D	 388	 389	 20	 S	
958	 364	 3	 C	 364	 408	 1	 B	
959	 408	 1	 C	 408	 408	 1	 A	
960	 389	 1	 D	 389	 390	 20	 S	
961	 409	 1	 C	 409	 409	 1	 B	
962	 391	 5	 Q	 391	 391	 20	 S	
963	 347	 2	 P	 347	 347	 65	 A	
964	 368	 5	 A	 368	 368	 44	 B	
965	 345	 3	 D	 345	 391	 21	 S	
966	 411	 1	 C	 411	 411	 2	 A	
967	 347	 2	 C	 347	 412	 1	 B	
968	 332	 2	 D	 332	 394	 19	 S	
969	 348	 3	 D	 348	 394	 20	 S	
970	 368	 5	 C	 368	 412	 2	 A	
971	 372	 3	 A	 372	 372	 43	 B	
972	 394	 1	 D	 394	 395	 20	 S	
973	 413	 1	 C	 413	 413	 2	 A	
974	 414	 1	 C	 414	 414	 2	 B	
975	 355	 3	 D	 355	 397	 19	 S	
976	 372	 3	 C	 372	 415	 1	 A	
977	 415	 1	 C	 415	 415	 2	 B	
978	 397	 1	 D	 397	 398	 19	 S	
979	 416	 1	 C	 416	 416	 1	 A	
980	 335	 2	 D	 335	 399	 19	 S	
981	 417	 1	 C	 417	 417	 1	 A	
982	 378	 3	 A	 378	 378	 41	 B	
983	 399	 1	 D	 399	 400	 19	 S	
984	 400	 1	 D	 400	 401	 19	 S	
985	 378	 3	 C	 378	 419	 1	 B	
986	 350	 4	 P	 350	 350	 71	 A	
987	 419	 1	 C	 419	 419	 2	 B	
988	 357	 3	 D	 357	 401	 20	 S	
989	 350	 4	 C	 350	 421	 1	 A	
990	 395	 4	 Q	 395	 395	 27	 S	
991	 383	 3	 A	 383	 383	 40	 B	
992	 402	 1	 D	 402	 404	 19	 S	
993	 383	 3	 C	 383	 423	 1	 B	
994	 359	 3	 D	 359	 405	 19	 S	
995	 351	 4	 P	 351	 351	 74	 A	
996	 341	 2	 D	 341	 405	 20	 S	
997	 351	 4	 C	 351	 425	 1	 A	
998	 410	 4	 Q	 410	 410	 16	 S	
999	 391	 5	 A	 391	 391	 35	 B	
1000	 404	 1	 D	 404	 406	 21	 S	
1001	 391	 5	 C	 391	 426	 1	 B	
1002	 405	 1	 D	 405	 406	 22	 S	
1003	 352	 2	 P	 352	 352	 77	 A	
1004	 406	 1	 D	 406	 407	 22	 S	
1005	 392	 3	 A	 392	 392	 37	 B	
1006	 407	 1	 D	 407	 408	 22	 S	
1007	 352	 2	 C	 352	 429	 1	 B	
1008	 429	 1	 C	 429	 429	 1	 A	
1009	 364	 3	 D	 364	 409	 22	 S	
1010	 392	 3	 C	 392	 429	 2	 B	
1011	 430	 1	 C	 430	 430	 1	 A	
1012	 408	 1	 D	 408	 409	 23	 S	
1013	 421	 5	 Q	 421	 421	 12	 S	
1014	 418	 3	 A	 418	 418	 15	 B	
1015	 354	 2	 P	 354	 354	 80	 A	
1016	 409	 1	 D	 409	 410	 24	 S	
1017	 418	 3	 C	 418	 433	 1	 B	
1018	 411	 1	 D	 411	 413	 22	 S	
1019	 354	 2	 C	 354	 434	 1	 A	
1020	 434	 1	 C	 434	 434	 1	 B	
1021	 425	 5	 Q	 425	 425	 11	 S	
1022	 420	 3	 A	 420	 420	 17	 B	
1023	 347	 2	 D	 347	 413	 24	 S	
1024	 362	 2	 P	 362	 362	 76	 A	
1025	 436	 1	 C	 436	 436	 2	 B	
1026	 368	 5	 D	 368	 414	 24	 S	
1027	 413	 1	 D	 413	 415	 24	 S	
1028	 362	 2	 C	 362	 438	 1	 B	
1029	 420	 3	 C	 420	 437	 2	 A	
1030	 414	 1	 D	 414	 416	 24	 S	
1031	 439	 1	 C	 439	 439	 1	 A	
1032	 438	 1	 C	 438	 438	 2	 B	
1033	 372	 3	 D	 372	 416	 25	 S	
1034	 421	 5	 A	 421	 421	 21	 B	
1035	 415	 1	 D	 415	 417	 25	 S	
1036	 416	 1	 D	 416	 417	 26	 S	
1037	 441	 1	 C	 441	 441	 2	 B	
1038	 371	 2	 P	 371	 371	 72	 A	
1039	 417	 1	 D	 417	 418	 26	 S	
1040	 442	 1	 C	 442	 442	 2	 B	
1041	 421	 5	 C	 421	 442	 2	 A	
1042	 378	 3	 D	 378	 420	 25	 S	
1043	 371	 2	 C	 371	 443	 2	 B	
1044	 443	 1	 C	 443	 443	 2	 A	
1045	 419	 1	 D	 419	 421	 25	 S	
1046	 444	 1	 C	 444	 444	 2	 B	
1047	 350	 4	 D	 350	 422	 25	 S	
1048	 446	 1	 C	 446	 446	 1	 B	
1049	 376	 2	 P	 376	 376	 72	 A	
1050	 383	 3	 D	 383	 424	 24	 S	
1051	 447	 1	 C	 447	 447	 1	 B	
1052	 351	 4	 D	 351	 426	 23	 S	
1053	 376	 2	 C	 376	 448	 1	 A	
1054	 448	 1	 C	 448	 448	 1	 B	
1055	 432	 4	 Q	 432	 432	 18	 S	
1056	 391	 5	 D	 391	 427	 24	 S	
1057	 425	 5	 A	 425	 425	 26	 B	
1058	 379	 2	 P	 379	 379	 73	 A	
1059	 352	 2	 D	 352	 430	 22	 S	
1060	 425	 5	 C	 425	 451	 1	 B	
1061	 379	 2	 C	 379	 452	 1	 A	
1062	 452	 1	 C	 452	 452	 1	 B	
1063	 429	 1	 D	 429	 430	 23	 S	
1064	 453	 1	 C	 453	 453	 1	 A	
1065	 392	 3	 D	 392	 431	 23	 S	
1066	 426	 3	 A	 426	 426	 29	 B	
1067	 430	 1	 D	 430	 431	 24	 S	
1068	 455	 1	 C	 455	 455	 1	 B	
1069	 418	 3	 D	 418	 434	 22	 S	
1070	 380	 2	 P	 380	 380	 77	 A	
1071	 426	 3	 C	 426	 455	 2	 B	
1072	 354	 2	 D	 354	 435	 22	 S	
1073	 456	 1	 C	 456	 456	 2	 A	
1074	 380	 2	 C	 380	 457	 1	 B	
1075	 434	 1	 D	 434	 435	 23	 S	
1076	 436	 1	 D	 436	 438	 21	 S	
1077	 457	 1	 C	 457	 457	 2	 A	
1078	 428	 3	 A	 428	 428	 32	 B	
1079	 435	 5	 Q	 435	 435	 25	 S	
1080	 362	 2	 D	 362	 439	 22	 S	
1081	 428	 3	 C	 428	 460	 1	 B	
1082	 384	 2	 P	 384	 384	 78	 A	
1083	 420	 3	 D	 420	 439	 23	 S	
1084	 439	 1	 D	 439	 440	 23	 S	
1085	 384	 2	 C	 384	 462	 1	 A	
1086	 431	 3	 A	 431	 431	 32	 B	
1087	 438	 1	 D	 438	 440	 24	 S	
1088	 431	 3	 C	 431	 463	 1	 A	
1089	 435	 5	 A	 435	 435	 30	 B	
1090	 441	 1	 D	 441	 443	 22	 S	
1091	 442	 1	 D	 442	 444	 22	 S	
1092	 435	 5	 C	 435	 465	 1	 B	
1093	 390	 2	 P	 390	 390	 77	 A	
1094	 421	 5	 D	 421	 444	 23	 S	
1095	 465	 1	 C	 465	 465	 2	 B	
1096	 390	 2	 C	 390	 467	 1	 A	
1097	 371	 2	 D	 371	 445	 23	 S	
1098	 467	 1	 C	 467	 467	 1	 B	
1099	 449	 5	 Q	 449	 449	 20	 S	
1100	 443	 1	 D	 443	 445	 25	 S	
1101	 437	 3	 A	 437	 437	 33	 B	
1102	 393	 2	 P	 393	 393	 78	 A	
1103	 444	 1	 D	 444	 446	 25	 S	
1104	 437	 3	 C	 437	 470	 1	 B	
1105	 393	 2	 C	 393	 471	 1	 A	
1106	 446	 1	 D	 446	 447	 25	 S	
1107	 471	 1	 C	 471	 471	 1	 B	
1108	 447	 1	 D	 447	 448	 25	 S	
1109	 472	 1	 C	 472	 472	 1	 B	
1110	 376	 2	 D	 376	 449	 25	 S	
1111	 395	 4	 P	 395	 395	 80	 A	
1112	 440	 3	 A	 440	 440	 35	 B	
1113	 448	 1	 D	 448	 449	 26	 S	
1114	 474	 1	 C	 474	 474	 2	 A	
1115	 395	 4	 C	 395	 475	 1	 B	
1116	 425	 5	 D	 425	 452	 24	 S	
1117	 440	 3	 C	 440	 475	 2	 A	
1118	 475	 1	 C	 475	 475	 2	 B	
1119	 379	 2	 D	 379	 453	 24	 S	
1120	 476	 1	 C	 476	 476	 2	 A	
1121	 477	 1	 C	 477	 477	 1	 B	
1122	 452	 1	 D	 452	 453	 25	 S	
1123	 453	 1	 D	 453	 454	 25	 S	
1124	 478	 1	 C	 478	 478	 1	 A	
1125	 449	 5	 A	 449	 449	 31	 B	
1126	 455	 1	 D	 455	 456	 24	 S	
1127	 449	 5	 C	 449	 480	 1	 B	
1128	 459	 5	 Q	 459	 459	 22	 S	
1129	 468	 5	 Q	 468	 468	 14	 S	
1130	 396	 2	 P	 396	 396	 86	 A	
1131	 450	 3	 A	 450	 450	 33	 B	
1132	 426	 3	 D	 426	 457	 26	 S	
1133	 396	 2	 C	 396	 482	 1	 A	
1134	 480	 5	 Q	 480	 480	 4	 S	
1135	 450	 3	 C	 450	 483	 1	 B	
1136	 456	 1	 D	 456	 458	 27	 S	
1137	 484	 1	 C	 484	 484	 1	 B	
1138	 398	 2	 P	 398	 398	 88	 A	
1139	 380	 2	 D	 380	 458	 28	 S	
1140	 457	 1	 D	 457	 459	 28	 S	
1141	 451	 3	 A	 451	 451	 36	 B	
1142	 398	 2	 C	 398	 486	 1	 A	
1143	 428	 3	 D	 428	 461	 27	 S	
1144	 451	 3	 C	 451	 487	 1	 B	
1145	 487	 1	 C	 487	 487	 1	 A	
1146	 384	 2	 D	 384	 463	 26	 S	
1147	 488	 1	 C	 488	 488	 1	 B	
1148	 431	 3	 D	 431	 464	 26	 S	
1149	 489	 1	 C	 489	 489	 1	 B	
1150	 401	 2	 P	 401	 401	 90	 A	
1151	 435	 5	 D	 435	 466	 25	 S	
