TID GID GT TTy ReqT TAr TT Res
133	 48	 5	 C	 48	 59	 2	 B	
134	 43	 2	 D	 43	 60	 1	 S	
135	 57	 3	 D	 57	 60	 2	 S	
136	 58	 5	 A	 58	 58	 5	 B	
137	 59	 1	 D	 59	 61	 2	 S	
138	 46	 2	 P	 46	 46	 18	 A	
139	 62	 1	 C	 62	 62	 2	 B	
140	 48	 5	 D	 48	 61	 3	 S	
141	 58	 5	 C	 58	 63	 2	 A	
142	 63	 1	 C	 63	 63	 2	 B	
143	 62	 1	 D	 62	 64	 1	 S	
144	 46	 2	 C	 46	 64	 2	 A	
145	 64	 1	 C	 64	 64	 2	 B	
146	 58	 5	 D	 58	 65	 1	 S	
147	 63	 1	 D	 63	 65	 2	 S	
148	 61	 5	 A	 61	 61	 7	 B	
149	 46	 2	 D	 46	 66	 2	 S	
150	 49	 2	 P	 49	 49	 20	 A	
151	 67	 1	 C	 67	 67	 2	 B	
152	 64	 1	 D	 64	 66	 3	 S	
153	 68	 1	 C	 68	 68	 2	 A	
154	 49	 2	 C	 49	 69	 1	 B	
155	 67	 1	 D	 67	 69	 1	 S	
156	 61	 5	 Q	 61	 61	 10	 S	
157	 65	 3	 A	 65	 65	 7	 B	
158	 68	 1	 D	 68	 70	 2	 S	
159	 51	 2	 P	 51	 51	 22	 A	
160	 71	 1	 C	 71	 71	 2	 B	
161	 49	 2	 D	 49	 70	 3	 S	
162	 61	 5	 C	 61	 71	 3	 A	
163	 65	 3	 C	 65	 72	 2	 B	
164	 71	 1	 D	 71	 73	 1	 S	
165	 61	 5	 D	 61	 74	 1	 S	
166	 51	 2	 C	 51	 73	 2	 B	
167	 72	 1	 C	 72	 72	 3	 A	
168	 66	 4	 Q	 66	 66	 10	 S	
169	 73	 3	 A	 73	 73	 4	 B	
170	 65	 3	 D	 65	 74	 3	 S	
171	 54	 2	 P	 54	 54	 24	 A	
172	 76	 1	 C	 76	 76	 2	 B	
173	 51	 2	 D	 51	 75	 3	 S	
174	 73	 3	 C	 73	 77	 2	 A	
175	 77	 1	 C	 77	 77	 2	 B	
176	 72	 1	 D	 72	 75	 4	 S	
177	 54	 2	 C	 54	 78	 2	 A	
178	 76	 1	 D	 76	 78	 2	 S	
179	 73	 3	 D	 73	 79	 2	 S	
180	 75	 5	 A	 75	 75	 6	 B	
181	 80	 1	 C	 80	 80	 1	 A	
182	 70	 4	 Q	 70	 70	 12	 S	
183	 79	 3	 A	 79	 79	 4	 B	
184	 77	 1	 D	 77	 79	 4	 S	
185	 56	 2	 P	 56	 56	 28	 A	
186	 82	 1	 C	 82	 82	 2	 B	
187	 54	 2	 D	 54	 80	 4	 S	
188	 80	 1	 D	 80	 81	 4	 S	
189	 79	 3	 C	 79	 83	 2	 A	
190	 83	 1	 C	 83	 83	 2	 B	
191	 82	 1	 D	 82	 84	 2	 S	
192	 84	 1	 C	 84	 84	 2	 B	
193	 56	 2	 C	 56	 84	 2	 A	
194	 79	 3	 D	 79	 85	 2	 S	
195	 81	 5	 A	 81	 81	 7	 B	
196	 83	 1	 D	 83	 85	 3	 S	
197	 60	 2	 P	 60	 60	 29	 A	
198	 88	 1	 C	 88	 88	 1	 B	
199	 56	 2	 D	 56	 86	 3	 S	
200	 84	 1	 D	 84	 86	 4	 S	
201	 89	 1	 C	 89	 89	 1	 B	
202	 60	 2	 C	 60	 89	 1	 A	
203	 75	 5	 Q	 75	 75	 16	 S	
204	 88	 1	 D	 88	 89	 3	 S	
205	 89	 1	 D	 89	 90	 3	 S	
206	 91	 3	 A	 91	 91	 2	 B	
207	 66	 4	 P	 66	 66	 27	 A	
208	 92	 1	 C	 92	 92	 2	 A	
209	 81	 5	 Q	 81	 81	 13	 S	
210	 75	 5	 C	 75	 91	 3	 B	
211	 60	 2	 D	 60	 90	 5	 S	
212	 66	 4	 C	 66	 93	 2	 B	
213	 91	 3	 C	 91	 93	 2	 A	
214	 92	 1	 D	 92	 94	 2	 S	
215	 81	 5	 C	 81	 94	 2	 B	
216	 94	 1	 C	 94	 94	 2	 A	
217	 75	 5	 D	 75	 94	 3	 S	
218	 95	 1	 C	 95	 95	 2	 B	
219	 96	 1	 C	 96	 96	 1	 A	
220	 91	 3	 D	 91	 95	 3	 S	
221	 97	 1	 C	 97	 97	 1	 B	
222	 66	 4	 D	 66	 95	 4	 S	
223	 98	 1	 C	 98	 98	 1	 B	
224	 69	 2	 P	 69	 69	 31	 A	
225	 94	 1	 D	 94	 96	 4	 S	
226	 69	 2	 C	 69	 100	 1	 A	
227	 93	 5	 A	 93	 93	 8	 B	
228	 81	 5	 D	 81	 96	 5	 S	
229	 95	 1	 D	 95	 97	 5	 S	
230	 101	 1	 C	 101	 101	 1	 B	
231	 100	 1	 C	 100	 100	 2	 A	
232	 96	 1	 D	 96	 97	 6	 S	
233	 102	 1	 C	 102	 102	 1	 B	
234	 97	 1	 D	 97	 98	 6	 S	
235	 103	 1	 C	 103	 103	 1	 B	
236	 98	 1	 D	 98	 99	 6	 S	
237	 70	 4	 P	 70	 70	 35	 A	
238	 69	 2	 D	 69	 101	 5	 S	
239	 99	 3	 A	 99	 99	 7	 B	
240	 70	 4	 C	 70	 105	 1	 A	
241	 90	 4	 Q	 90	 90	 17	 S	
242	 99	 3	 C	 99	 106	 1	 B	
243	 106	 1	 C	 106	 106	 1	 A	
244	 101	 1	 D	 101	 102	 6	 S	
245	 107	 1	 C	 107	 107	 1	 B	
246	 100	 1	 D	 100	 102	 7	 S	
247	 74	 2	 P	 74	 74	 36	 A	
248	 109	 1	 C	 109	 109	 1	 B	
249	 102	 1	 D	 102	 103	 7	 S	
250	 103	 1	 D	 103	 104	 7	 S	
251	 110	 1	 C	 110	 110	 1	 B	
252	 74	 2	 C	 74	 110	 1	 A	
253	 70	 4	 D	 70	 106	 6	 S	
254	 111	 3	 A	 111	 111	 2	 B	
255	 99	 3	 D	 99	 107	 6	 S	
256	 78	 2	 P	 78	 78	 36	 A	
257	 112	 1	 C	 112	 112	 2	 B	
258	 93	 5	 Q	 93	 93	 21	 S	
259	 111	 3	 C	 111	 113	 2	 A	
260	 106	 1	 D	 106	 107	 8	 S	
261	 78	 2	 C	 78	 114	 1	 B	
262	 107	 1	 D	 107	 108	 8	 S	
263	 93	 5	 C	 93	 114	 2	 A	
264	 109	 1	 D	 109	 110	 7	 S	
265	 113	 5	 A	 113	 113	 4	 B	
266	 116	 1	 C	 116	 116	 1	 A	
267	 110	 1	 D	 110	 111	 7	 S	
